"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"FA(18:0)_[M-H]1-"	283.2643	-0.000499999999988177	-0.000499999999988177	-0.0010000000000332	-0.00130000000001473	-0.00119999999998299	-0.00139999999998963	-0.00130000000001473	-0.0010000000000332	-0.00139999999998963	-0.00150000000002137	-0.000600000000019918	-0.000400000000013279	-0.00130000000001473	-0.00110000000000809
"FA(17:0)-OH_[M-H]1-"	285.2435	0	0	-0.000200000000006639	-0.000900000000001455	0	-0.000800000000026557	-0.000900000000001455	-0.000600000000019918	0	-0.000900000000001455	-0.000699999999994816	0	-0.000400000000013279	0
"OCT(C18H24O3)_[M-H]1-"	287.1653	0.00869999999997617	0.00860000000000127	0.00760000000002492	0.00990000000001601	0.00749999999999318	0.00990000000001601	0.00990000000001601	0.00760000000002492	0.00990000000001601	0.00990000000001601	-0.000299999999981537	-0.00240000000002283	0.00790000000000646	0.0081000000000131
"OCT(C18H26O3)_[M-H]1-"	289.1809	-0.000499999999988177	0.00110000000000809	0.00970000000000937	0.00950000000000273	0.00990000000001601	-0.002900000000011	0.00960000000003447	0.00979999999998427	-0.000400000000013279	0.00990000000001601	0.00850000000002638	0.00850000000002638	0.00909999999998945	-0.00189999999997781
"OCT(C18H28O3)_[M-H]1-"	291.1966	0.00979999999998427	-0.00990000000001601	-0.00970000000000937	-0.00139999999998963	-0.00450000000000728	-0.00549999999998363	-0.00990000000001601	-0.00950000000000273	-0.00119999999998299	-0.00220000000001619	-0.0135999999999967	0.00929999999999609	-0.0142000000000166	-0.00110000000000809
"OCT(C18H30O3)_[M-H]1-"	293.2122	-0.000800000000026557	-0.000600000000019918	-0.00139999999998963	-0.00180000000000291	-0.00220000000001619	-0.00150000000002137	0.0040000000000191	-0.000100000000031741	0.0040000000000191	-0.00159999999999627	-0.000800000000026557	-0.000600000000019918	0.0040000000000191	-0.000999999999976353
"FA(18:2)-OH_[M-H]1-"	295.2279	-0.000400000000013279	-0.00050000000004502	-0.00110000000000809	-0.00110000000000809	-0.00110000000000809	-0.00130000000001473	-0.00120000000003984	-0.0010000000000332	-0.00140000000004648	-0.00150000000002137	-0.000699999999994816	-0.000400000000013279	-0.00130000000001473	-0.00110000000000809
"FA(19:1)_[M-H]1-"	295.2643	-0.000400000000013279	-0.000600000000019918	-0.0010000000000332	-0.00119999999998299	-0.00110000000000809	-0.00139999999998963	-0.00130000000001473	-0.0010000000000332	-0.00130000000001473	-0.00139999999998963	-0.000600000000019918	-0.000400000000013279	-0.00119999999998299	-0.0010000000000332
"FA(18:1)-OH_[M-H]1-"	297.2435	-0.000600000000019918	-0.000699999999994816	-0.00130000000001473	-0.00150000000002137	-0.00139999999998963	-0.00150000000002137	-0.00139999999998963	-0.00120000000003984	-0.00150000000002137	-0.00159999999999627	-0.000900000000001455	-0.000699999999994816	-0.00139999999998963	-0.00120000000003984
"FA(19:0)_[M-H]1-"	297.2799	-0.000600000000019918	-0.000699999999994816	-0.00110000000000809	-0.00130000000001473	-0.00119999999998299	-0.00150000000002137	-0.00130000000001473	-0.000999999999976353	-0.00150000000002137	-0.00150000000002137	-0.000900000000001455	-0.000600000000019918	-0.00139999999998963	-0.00130000000001473
"FA(18:0)-OH_[M-H]1-"	299.2592	-0.000499999999988177	-0.000399999999956435	-0.00119999999998299	-0.00119999999998299	-0.00119999999998299	-0.00129999999995789	-0.00129999999995789	-0.000900000000001455	-0.00139999999998963	-0.00149999999996453	-0.000599999999963075	-0.000200000000006639	-0.00129999999995789	-0.00119999999998299
"2H-IS_FA_17_[M-H]1-"	300.4443	0.000400000000013279	0.000400000000013279	0	-0.000299999999981537	-0.000200000000006639	-0.000299999999981537	-0.000200000000006639	0	-0.000299999999981537	-0.000499999999988177	0.000299999999981537	0	-0.000200000000006639	9.99999999748979e-05
