mz	name
557.3096	LPI-O_16:0_[M-H]1-
558.3332	PC-O_18:0_[M+Cl]1-
558.3696	LPC-2O_19:0_[M+Cl]1-
558.4658	Cer_33:1_[M+Cl]1-
559.3041	LPG_22:4_[M-H]1-
560.263	PC_16:2_[M+OAC]1-
560.5048	Cer_36:3_[M-H]1-
561.3562	PA_26:1_[M-H]1-
561.4888	FAHFA_OAHOA_[M-H]1-
562.5205	Cer_36:2_[M-H]1-
563.3354	LPG_22:2_[M-H]1-
563.3718	PA_26:0_[M-H]1-
563.5045	FAHFA_OAHSA/SAHOA_[M-H]1-
564.3307	LPC_17:2_[M+OAC]1-
564.3671	LPC-P_18:1_[M+OAC]1- / PE_23:0_[M-H]1-
564.4633	Cer_32:3_[M+OAC]1-
564.5361	Cer_36:1_[M-H]1-
564.6821	2H-IS_Cer_[M-H]1-
565.3511	LPG_22:1_[M-H]1-
565.6881	2H-IS_Cer_[M-H]1-
566.3019	LPC_19:3_[M+Cl]1-
566.31	PS_20:0_[M-H]1-
566.3463	LPC_17:1_[M+OAC]1- / LPS_21:0_[M-H]1-
566.3827	LPC-O_18:1_[M+OAC]1-
566.479	Cer_32:2_[M+OAC]1-
566.6935	2H-IS_Cer_[M-H]1-
567.3667	LPG_22:0_[M-H]1-
567.6985	2H-IS_Cer_[M-H]1-
568.2681	LPS_22:6_[M-H]1-
568.3256	PC_16:0_[M+OAC]1-
568.362	PC-O_17:0_[M+OAC]1-
568.3984	LPC-2O_18:0_[M+OAC]1-
568.4502	Cer_34:3_[M+Cl]1-
568.4946	Cer_32:1_[M+OAC]1-
568.7027	2H-IS_Cer_[M-H]1-
569.2732	LPI_16:1_[M-H]1-
570.2968	PC_18:1_[M+Cl]1-
570.3332	PC-O_19:1_[M+Cl]1-
570.3696	LPC-2O_20:1_[M+Cl]1-
570.4658	Cer_34:2_[M+Cl]1-
571.2889	LPI_16:0_[M-H]1-
572.2994	LPS_22:4_[M-H]1-
572.3125	PC_18:0_[M+Cl]1-
572.3488	PC-O_19:0_[M+Cl]1-
572.3852	LPC-2O_20:0_[M+Cl]1-
572.4815	Cer_34:1_[M+Cl]1-
574.315	LPC_18:4_[M+OAC]1-
575.3718	PA_27:1_[M-H]1-
576.2862	LPC_20:5_[M+Cl]1-
576.3307	LPC_18:3_[M+OAC]1- / LPS_22:2_[M-H]1-
576.5361	Cer_37:2_[M-H]1-
577.3875	PA_27:0_[M-H]1-
578.3019	LPC_20:4_[M+Cl]1-
578.3463	LPC_18:2_[M+OAC]1- / LPS_22:1_[M-H]1-
578.3827	LPC-O_19:1_[M+OAC]1- / PE_24:0_[M-H]1-
578.5518	Cer_37:1_[M-H]1-
580.3175	LPC_20:3_[M+Cl]1-
580.362	PC-O_18:1_[M+OAC]1- / LPS_22:0_[M-H]1-
580.3984	LPC-2O_19:1_[M+OAC]1-
580.4946	Cer_33:2_[M+OAC]1-
581.2732	LPI_17:2_[M-H]1-
582.3332	PC-O_20:2_[M+Cl]1-
582.3776	PC-O_18:0_[M+OAC]1-
582.414	LPC-2O_19:0_[M+OAC]1-
582.5103	Cer_33:1_[M+OAC]1-
583.2889	LPI_17:1_[M-H]1-
583.3253	LPI-P_18:0_[M-H]1-
584.3125	PC_19:1_[M+Cl]1-
584.3488	PC-O_20:1_[M+Cl]1-
584.4815	Cer_35:2_[M+Cl]1-
585.3045	LPI_17:0_[M-H]1-
585.3409	LPI-O_18:0_[M-H]1-
586.3281	PC_19:0_[M+Cl]1-
586.3645	PC-O_20:0_[M+Cl]1-
586.4009	LPC-2O_21:0_[M+Cl]1-
586.4971	Cer_35:1_[M+Cl]1-
587.3718	PA_28:2_[M-H]1-
588.5361	Cer_38:3_[M-H]1-
589.3875	PA_28:1_[M-H]1-
590.3463	LPC_19:3_[M+OAC]1-
590.5518	Cer_38:2_[M-H]1-
591.2576	LPI_18:4_[M-H]1-
591.4031	PA_28:0_[M-H]1-
592.2812	PC_20:4_[M+Cl]1-
592.3175	LPC_21:4_[M+Cl]1-
592.3984	PE_25:0_[M-H]1-
592.4946	Cer_34:3_[M+OAC]1-
592.5674	Cer_38:1_[M-H]1-
593.2732	LPI_18:3_[M-H]1-
594.3413	PC_18:1_[M+OAC]1-
594.3776	PC-O_19:1_[M+OAC]1-
594.414	LPC-2O_20:1_[M+OAC]1-
594.5103	Cer_34:2_[M+OAC]1-
595.2889	LPI_18:2_[M-H]1-
596.3569	PC_18:0_[M+OAC]1-
596.3933	PC-O_19:0_[M+OAC]1-
596.4297	LPC-2O_20:0_[M+OAC]1-
596.4815	Cer_36:3_[M+Cl]1-
596.5259	Cer_34:1_[M+OAC]1-
597.3045	LPI_18:1_[M-H]1-
598.3281	PC_20:1_[M+Cl]1-
598.3645	PC-O_21:1_[M+Cl]1-
598.4971	Cer_36:2_[M+Cl]1-
599.3202	LPI_18:0_[M-H]1-
600.3307	LPC_20:5_[M+OAC]1-
600.3438	PC_20:0_[M+Cl]1-
600.3801	PC-O_21:0_[M+Cl]1-
600.5128	Cer_36:1_[M+Cl]1-
600.6593	2H-IS_Cer_[M+Cl]1-
601.3875	PA_29:2_[M-H]1-
601.6652	2H-IS_Cer_[M+Cl]1-
602.3019	LPC_22:6_[M+Cl]1-
602.3463	LPC_20:4_[M+OAC]1-
602.6707	2H-IS_Cer_[M+Cl]1-
603.4031	PA_29:1_[M-H]1-
603.6754	2H-IS_Cer_[M+Cl]1-
604.362	LPC_20:3_[M+OAC]1-
604.3984	PE_26:1_[M-H]1-
604.5674	Cer_39:2_[M-H]1-
604.6681	2H-IS_Cer_[M+Cl]1-
605.4188	PA_29:0_[M-H]1-
605.6736	2H-IS_Cer_[M+Cl]1-
606.3332	LPC_22:4_[M+Cl]1-
606.3776	PC-O_20:2_[M+OAC]1-
606.414	PE_26:0_[M-H]1-
606.5831	Cer_39:1_[M-H]1-
608.3569	PC_19:1_[M+OAC]1-
608.3933	PC-O_20:1_[M+OAC]1-
608.5259	Cer_35:2_[M+OAC]1-
609.3773	PG_24:0_[M-H]1-
609.6813	2H-IS_Cer_U
610.3645	LPC_22:2_[M+Cl]1-
610.3726	PC_19:0_[M+OAC]1-
610.4089	PC-O_20:0_[M+OAC]1-
610.4453	LPC-2O_21:0_[M+OAC]1-
610.5416	Cer_35:1_[M+OAC]1-
610.6879	2H-IS_Cer_U
611.3202	LPI_19:1_[M-H]1-
611.3566	LPI-P_20:0_[M-H]1-
611.3718	PA_30:4_[M-H]1-
611.6936	2H-IS_Cer_U
612.3438	PC_21:1_[M+Cl]1-
612.3801	LPC_22:1_[M+Cl]1-
612.5128	Cer_37:2_[M+Cl]1-
612.6993	2H-IS_Cer_U
613.3358	LPI_19:0_[M-H]1-
613.3722	LPI-O_20:0_[M-H]1-
613.3875	PA_30:3_[M-H]1-
613.7047	2H-IS_Cer_U
614.3594	PC_21:0_[M+Cl]1-
614.3958	PC-O_22:0_[M+Cl]1-
614.5284	Cer_37:1_[M+Cl]1-
614.7094	2H-IS_Cer_U
615.4031	PA_30:2_[M-H]1-
615.7139	2H-IS_Cer_U
616.3256	PC_20:4_[M+OAC]1-
616.362	LPC_21:4_[M+OAC]1-
617.2732	LPI_20:5_[M-H]1-
617.4188	PA_30:1_[M-H]1-
618.414	PE_27:1_[M-H]1-
